Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2014-2015,53,41.75687639,-87.72232174,7500 S PULASKI RD,,CHICAGO,IL,60652,United States of America,Daley College,,773-838-7520,Marla Mutis,11/08/2014,11/08/2014,9:00:00,14:00:00,11/08/2014 09:00:00 AM,11/08/2014 02:00:00 PM,Saturday,,No limitations.,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2014-2015_53,"(41.75687639, -87.72232174)",8,63,4300,318,30
2018-2019,60,41.69818,-87.64226,10747 S. Halsted St.,,Chicago,IL,60628,United States of America,Cherubim & Seraphim Church,,,,12/02/2018,12/02/2018,11:00:00,14:00:00,12/02/2018 11:00:00 AM,12/02/2018 02:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_60,"(41.69818, -87.64226)",19,45,21861,525,22
2014-2015,166,41.691725,-87.700985,3220 W 111TH ST,,CHICAGO,IL,60655,United States of America,Walgreens,http://www.Walgreens.com,773-239-2808,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_166,"(41.691725, -87.700985)",33,73,4447,369,42
2017-2018,90,41.93822,-87.64878,3101 NORTH CLARK STREET,,Chicago,IL,60657,United States of America,CVS/pharmacy,http://www.cvs.com,773-477-3333,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2017-2018_90,"(41.93822, -87.64878)",22,57,4449,682,25
2017-2018,178,41.9175,-87.7056,3110 W ARMITAGE AVE,,CHICAGO,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-235-6758,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2017-2018_178,"(41.9175, -87.7056)",1,23,22535,371,40
2017-2018,238,41.75028,-87.65447,1213 W 79TH ST,,CHICAGO,IL,60620,United States of America,Walgreens,http://www.Walgreens.com,773-651-2118,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2017-2018_238,"(41.75028, -87.65447)",59,70,21554,575,31
2017-2018,32,41.9683,-87.73809,4404 W. Lawrence Ave.,,Chicago,IL,60630,United States of America,39th Ward Office,,,,10/06/2017,10/06/2017,10:00:00,14:00:00,10/06/2017 10:00:00 AM,10/06/2017 02:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_32,"(41.9683, -87.73809)",48,14,21869,751,38
2014-2015,236,41.79587,-87.68446,5360 SOUTH WESTERN AVENUE,,CHICAGO,IL,60609,United States of America,CVS/pharmacy,http://www.cvs.com,773-471-3160,,09/01/2014,03/31/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_236,"(41.79587, -87.68446)",56,61,14924,778,3
2018-2019,11,41.9104,-87.69598,2740 W. North Ave.,,Chicago,IL,60647,United States of America,1st Ward Office,,,,10/10/2018,10/10/2018,11:00:00,15:00:00,10/10/2018 11:00:00 AM,10/10/2018 03:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_11,"(41.9104, -87.69598)",1,25,22535,299,41
2018-2019,195,41.9402,-87.6446,3201 N BROADWAY ST,,Chicago,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-327-3591,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2018-2019_195,"(41.9402, -87.6446)",22,57,4449,730,25
2014-2015,45,41.73911603,-87.60474482,8539 S COTTAGE GROVE AVE,,CHICAGO,IL,60619,United States of America,8th Ward Office,,773-874-3300,Linda Bryant,10/15/2014,10/15/2014,12:00:00,15:00:00,10/15/2014 12:00:00 PM,10/15/2014 03:00:00 PM,Wednesday,,No limitations.,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2014-2015_45,"(41.73911603, -87.60474482)",61,40,21546,141,35
2014-2015,285,41.87962,-87.63993,130 SOUTH CANAL STREET,,CHICAGO,IL,60606,United States of America,CVS/pharmacy,http://www.cvs.com,312-589-8991,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_285,"(41.87962, -87.63993)",45,29,14914,786,36
2018-2019,136,41.8806,-87.62576,105 SOUTH WABASH AVENUE,,Chicago,IL,60603,United States of America,CVS/pharmacy,http://www.cvs.com,312-244-1521,,09/01/2018,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2018-2019_136,"(41.8806, -87.62576)",34,38,14311,367,36
2019-2020,229,41.9847,-87.8227,5753 N CANFIELD AVE,,Chicago,IL,60631,United States of America,Walgreens,http://www.Walgreens.com,773-631-2851,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2019-2020_229,"(41.9847, -87.8227)",17,36,22243,734,29
2019-2020,112,41.9133,-87.8056,1819 NORTH HARLEM AVENUE,,Chicago,IL,60707,United States of America,CVS/pharmacy,http://www.cvs.com,773-237-8927,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_112,"(41.9133, -87.8056)",3,26,4454,598,7
2017-2018,283,41.95408,-87.65428,953 W IRVING PARK RD,,CHICAGO,IL,60613,United States of America,Walgreens,http://www.Walgreens.com,773-935-6414,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2017-2018_283,"(41.95408, -87.65428)",53,57,21186,83,39
2018-2019,212,41.95471,-87.74762,4040 N CICERO AVE,,Chicago,IL,60641,United States of America,Walgreens,http://www.Walgreens.com,773-283-5321,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 8:00 AM-10:00 PM, Sun: 8:00 AM-10:00 PM",,Call for details.,,2018-2019_212,"(41.95471, -87.74762)",21,15,22618,259,50
2016-2017,9,41.9308,-87.7094709,2710 N. Sawyer Ave.,,Chicago,IL,60647,United States of America,35th Ward Office,,773-887-3772,Monica Trevino,10/03/2015,10/03/2015,10:00:00,14:00:00,10/03/2015 10:00:00 AM,10/03/2015 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_9,"(41.9308, -87.7094709)",1,23,22535,72,12
2018-2019,6,41.80852,-87.69325,2736 W. 47th St.,,Chicago,IL,60632,United States of America,15th Ward Office-Brighton Park,,,,10/04/2018,10/04/2018,10:00:00,13:00:00,10/04/2018 10:00:00 AM,10/04/2018 01:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_6,"(41.80852, -87.69325)",56,55,22248,85,3
2018-2019,234,41.9398,-87.654,1001 W BELMONT AVE,,Chicago,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-477-1151,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,,2018-2019_234,"(41.9398, -87.654)",22,57,4449,681,25
2019-2020,150,41.8822,-87.639,400 WEST MADISON STREET,,Chicago,IL,60606,United States of America,CVS/pharmacy,http://www.cvs.com,312-474-1051,,09/01/2019,09/01/2021,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 7:00 AM-7:00 PM, Tue: 7:00 AM-7:00 PM, Wed: 7:00 AM-7:00 PM, Thu: 7:00 AM-7:00 PM, Fri: 7:00 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_150,"(41.8822, -87.639)",46,29,14914,784,36
2018-2019,273,41.95408,-87.65428,953 W IRVING PARK RD,,Chicago,IL,60613,United States of America,Walgreens,http://www.Walgreens.com,773-935-6414,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_273,"(41.95408, -87.65428)",53,57,21186,83,39
2014-2015,323,41.90388396,-87.6394372,424 W Division St,,Chicago,IL,60610,United States of America,Jewel-Osco 2506,http://www.jeweloscopharmacies.com,312-642-2951,,08/12/2014,03/01/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon-Fri: 8:00 AM-9:00 PM, Sat-Sun: 9:00 AM-5:00 PM",,Call for details.,,2014-2015_323,"(41.90388396, -87.6394372)",54,37,14926,309,46
2014-2015,105,41.910399,-87.688899,2440 W NORTH AVE,,CHICAGO,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-489-5607,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,,,2014-2015_105,"(41.910399, -87.688899)",1,25,22535,287,41
2014-2015,267,41.94626,-87.71357,3411 WEST ADDISON STREET,,CHICAGO,IL,60618,United States of America,CVS/pharmacy,http://www.cvs.com,773-279-8005,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_267,"(41.94626, -87.71357)",39,22,21538,138,12
2017-2018,27,41.6922,-87.63536,507 W. 111th St.,,Chicago,IL,60628,United States of America,34th Ward Office,,,,11/09/2017,11/09/2017,10:00:00,13:00:00,11/09/2017 10:00:00 AM,11/09/2017 01:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_27,"(41.6922, -87.63536)",19,45,21861,486,22
2017-2018,19,41.88149,-87.68676,4 N. Western Ave.,,Chicago,IL,60612,United States of America,27th Ward Office,,,,10/25/2017,10/25/2017,9:00:00,13:00:00,10/25/2017 09:00:00 AM,10/25/2017 01:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_19,"(41.88149, -87.68676)",28,29,21184,37,46
2017-2018,254,41.93959,-87.72519,3222 N MILWAUKEE AVE,,CHICAGO,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-481-5876,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 8:00 AM-10:00 PM PM, Sun: 8:00 AM-10:00 PM",,Call for details.,,2017-2018_254,"(41.93959, -87.72519)",39,22,21538,138,21
2018-2019,165,41.9243,-87.6395,2317 N CLARK ST,,Chicago,IL,60614,United States of America,Walgreens,http://www.Walgreens.com,773-929-7488,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_165,"(41.9243, -87.6395)",16,68,21190,207,34
2016-2017,218,41.73632,-87.58595,8712 SOUTH STONY ISLAND AVENUE,,CHICAGO,IL,60619,United States of America,CVS/pharmacy,http://www.cvs.com,773-933-9200,,10/01/2016,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday",Open 24 Hours,,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_218,"(41.73632, -87.58595)",61,44,21202,490,35
2016-2017,238,41.9133,-87.8056,1819 NORTH HARLEM AVENUE,,CHICAGO,IL,60707,United States of America,CVS/pharmacy,http://www.cvs.com,773-237-8927,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_238,"(41.9133, -87.8056)",3,26,4454,598,7
2019-2020,78,41.710544,-87.592117,10001 S. Woodlawn Ave.,,Chicago,IL,60628,United States of America,Olive Harvey City College Wellness Resource Fair,,,,11/13/2019,11/13/2019,11:00:00,15:00:00,11/13/2019 11:00:00 AM,11/13/2019 03:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_78,"(41.710544, -87.592117)",19,47,21861,643,35
2019-2020,176,42.018,-87.6907,7510 N WESTERN AVE,,Chicago,IL,60645,United States of America,Walgreens,http://www.Walgreens.com,773-764-1765,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2019-2020_176,"(42.018, -87.6907)",12,20,22528,359,27
2016-2017,217,41.91258,-87.65345,1714 NORTH SHEFFIELD AVENUE,,CHICAGO,IL,60614,United States of America,CVS/pharmacy,http://www.cvs.com,312-640-5161,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Open 24 Hours,,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_217,"(41.91258, -87.65345)",16,68,21190,168,11
2014-2015,142,41.721899,-87.643799,9434 S HALSTED ST,,CHICAGO,IL,60620,United States of America,Walgreens,http://www.Walgreens.com,773-238-5648,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,,,2014-2015_142,"(41.721899, -87.643799)",59,72,21554,151,13
2014-2015,227,41.93745,-87.64407,3033 NORTH BROADWAY STREET,,CHICAGO,IL,60657,United States of America,CVS/pharmacy,http://www.cvs.com,773-883-6141,,09/01/2014,03/31/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_227,"(41.93745, -87.64407)",22,57,4449,683,25
2015-2016,252,41.90351,-87.66775,1200 NORTH ASHLAND AVENUE,,CHICAGO,IL,60622,United States of America,CVS/pharmacy,http://www.cvs.com,773-342-5917,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_252,"(41.90351, -87.66775)",4,25,21560,481,41
2015-2016,181,41.9178116,-87.6884002,2001 N MILWAUKEE AVE,,CHICAGO,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-772-2370,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: Midnight - Mindnight, Sat: Midnight - Mindnight, Sun: Midnight - Mindnight",,Call for details.,,2015-2016_181,"(41.9178116, -87.6884002)",1,23,22535,323,41
2018-2019,204,41.8668,-87.6396,501 W ROOSEVELT RD,,Chicago,IL,60607,United States of America,Walgreens,http://www.Walgreens.com,312-492-8559,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2018-2019_204,"(41.8668, -87.6396)",44,29,14917,97,48
2015-2016,272,41.7478,-87.66301,8025 SOUTH ASHLAND AVENUE,,CHICAGO,IL,60620,United States of America,CVS/pharmacy,http://www.cvs.com,773-783-8943,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_272,"(41.7478, -87.66301)",59,70,21554,558,13
2016-2017,306,41.93363207,-87.64573667,2828 N CLARK ST,,CHICAGO,IL,60657,United States of America,CVS/pharmacy,www.minuteclinic.com,773-525-1377,,10/01/2016,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-5:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details.,,2016-2017_306,"(41.93363207, -87.64573667)",22,57,4449,684,25
2019-2020,208,41.7961,-87.7617,5874 S ARCHER AVE,,Chicago,IL,60638,United States of America,Walgreens,http://www.Walgreens.com,773-284-7419,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2019-2020_208,"(41.7961, -87.7617)",7,53,22268,607,8
2015-2016,127,41.9089627,-87.7651214,1546 N CENTRAL AVE,,CHICAGO,IL,60651,United States of America,Walgreens,http://www.Walgreens.com,773-622-8185,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2015-2016_127,"(41.9089627, -87.7651214)",5,26,22615,599,45
2015-2016,111,41.953804,-87.686439,2301 W IRVING PARK RD,,CHICAGO,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-267-8410,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2015-2016_111,"(41.953804, -87.686439)",39,46,21538,613,18
2018-2019,206,41.9551,-87.654,4025 N SHERIDAN RD,,Chicago,IL,60613,United States of America,Walgreens,http://www.Walgreens.com,773-528-8314,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-8:00 PM, Sat: Closed, Sun: Closed",,Call for details.,,2018-2019_206,"(41.9551, -87.654)",53,31,21186,577,39
2017-2018,213,41.8668,-87.6396,501 W ROOSEVELT RD,,CHICAGO,IL,60607,United States of America,Walgreens,http://www.Walgreens.com,312-492-8559,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2017-2018_213,"(41.8668, -87.6396)",44,29,14917,97,48
2014-2015,1,41.69158354,-87.53513332,11207 S EWING AVE,,CHICAGO,IL,60617,United States of America,10th Ward-Knights of Columbus,,773-721-1999,Yessenia Carreon,10/10/2014,10/10/2014,9:00:00,14:00:00,10/10/2014 09:00:00 AM,10/10/2014 02:00:00 PM,Friday,,No limitations.,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2014-2015_1,"(41.69158354, -87.53513332)",25,49,21202,552,47
2018-2019,265,41.97558,-87.69269,5158 N LINCOLN AVE,,Chicago,IL,60625,United States of America,Walgreens,http://www.Walgreens.com,773-907-8490,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_265,"(41.97558, -87.69269)",20,6,21849,28,24
2015-2016,258,41.9458,-87.7667,3615 NORTH CENTRAL AVENUE,,CHICAGO,IL,60634,United States of America,CVS/pharmacy,http://www.cvs.com,773-283-2355,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_258,"(41.9458, -87.7667)",21,15,22254,361,44
2016-2017,246,41.75086,-87.64483,7858 SOUTH HALSTED STREET,,CHICAGO,IL,60620,United States of America,CVS/pharmacy,http://www.cvs.com,773-873-1842,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_246,"(41.75086, -87.64483)",59,70,21554,487,31
2019-2020,81,41.8069,-87.6736,1936 W. 48th St.,,Chicago,IL,60609,United States of America,St. Michael the Archangel Catolic Church,,,,10/20/2019,10/20/2019,9:00:00,14:00:00,10/20/2019 09:00:00 AM,10/20/2019 02:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_81,"(41.8069, -87.6736)",37,59,14924,709,3
2015-2016,273,41.87539,-87.6278,520 SOUTH  STATE STREET,,CHICAGO,IL,60605,United States of America,CVS/pharmacy,http://www.cvs.com,312-697-0021,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_273,"(41.87539, -87.6278)",35,38,14913,92,10
2015-2016,243,41.50681,-87.64059,11 EAST 14TH STREET,,CHICAGO HEIGHTS,IL,60411,United States of America,CVS/pharmacy,http://www.cvs.com,708-756-5441,,09/01/2014,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_243,"(41.50681, -87.64059)",,,26902,,
2016-2017,97,41.904099,-87.630199,1200 N DEARBORN ST,,CHICAGO,IL,60610,United States of America,Walgreens,http://www.Walgreens.com,312-943-973,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 8:00 AM-10:00 PM, Sun: 8:00 AM-10:00 PM",,Call for details.,,2016-2017_97,"(41.904099, -87.630199)",54,37,14926,17,11
